"Time","alice outbound","bob outbound","charlie outbound","dave outbound","erin outbound","frank outbound","ian outbound","jade outbound","luke outbound","mike outbound"
1734555600000,undefined,17782.91111111111,53801.444444444445,undefined,undefined,2322.5555555555557,16764.199999999997,11648.733333333334,undefined,950.5999999999999
1734562800000,undefined,35808.15555555555,34765.288888888885,undefined,undefined,1318.6,24137.42222222222,12944.846895693523,undefined,1259.5777777777778
1734570000000,undefined,33079.57777777778,46223.422222222216,undefined,undefined,1079.1777777777777,32479.977777777774,94870.8,undefined,1253.3555555555554
1734577200000,undefined,20801.711111111108,32654.977777777774,undefined,undefined,1671.2,27086.24444444444,18864.24444444444,undefined,1626.4444444444443
1734584400000,undefined,32072.333333333332,53424.399999999994,undefined,undefined,1833.7333333333333,23682.62222222222,32751.73333333333,undefined,2220
1734591600000,undefined,13332.822222222221,15117.066666666668,undefined,undefined,1979.4222222222222,16588.044444444444,12807.888888888889,undefined,881.1111111111111
1734598800000,undefined,13878.511111111111,30372.466666666667,undefined,undefined,1478.5777777777776,29833.955555555553,16023.533333333333,undefined,1092.2666666666667
1734606000000,undefined,30222.066666666666,53978.044444444444,undefined,undefined,1566.6,40919.444444444445,53913.8,undefined,2277
1734613200000,undefined,31725.866666666665,35006.51111111111,undefined,undefined,96440.44444444444,34586.64444444444,38903.55555555555,undefined,2334.3555555555554
1734620400000,undefined,25084.555555555555,38006.88888888888,undefined,undefined,1729.7777777777778,32096.4,16619.688888888886,undefined,1353.1555555555556
1734627600000,undefined,154831.4222222222,39320.35555555555,undefined,undefined,3064.5555555555557,88402.64444444444,69676.02222222222,undefined,1613.911111111111
1734634800000,undefined,56919.64444444444,16578.333333333332,undefined,undefined,806.4222222222221,43160.37777777777,39254.57777777778,undefined,1016.5777777777778
1734642000000,undefined,15098.133333333333,13419.777777777777,undefined,undefined,354.6222222222222,17636.511111111107,17542.222222222223,undefined,969.2666666666667
1734649200000,undefined,22738.355555555554,9084.644444444444,undefined,undefined,618.1777777777777,12200.777777777777,15028.755555555555,undefined,854.3333333333333
1734656400000,undefined,7544.644444444444,7294.466666666666,undefined,undefined,765.4666666666667,51383.75555555555,46388.55555555555,undefined,448.44444444444446
1734663600000,undefined,31778.977777777774,15051.444444444443,undefined,undefined,264,34942.555555555555,15841.755555555555,undefined,724.0222222222221
1734670800000,undefined,14462.288888888888,9541.244444444445,undefined,undefined,1857.6444444444444,16186.488888888887,21670.066666666666,undefined,679.9777777777778
1734678000000,undefined,197805.44444444444,16901.48888888889,undefined,undefined,28283.91111111111,37567.8,54478.64444444444,undefined,589.1777777777777
1734685200000,undefined,61504.51111111111,30081.711111111108,undefined,undefined,3071.4444444444443,23854.11111111111,37751.68888888889,undefined,1879.6
1734692400000,undefined,47227.333333333336,28878.688888888886,undefined,undefined,28014.82222222222,18789.844444444447,37230.51111111111,undefined,916.4888888888889
1734699600000,undefined,21271.733333333334,18767.24444444444,undefined,undefined,2360.3555555555554,21681.955555555553,20941.28888888889,undefined,902.1333333333333
1734706800000,undefined,19331.933333333334,21220.711111111108,12009.22222222222,undefined,2040.7111111111112,19950.777777777774,30399.6,undefined,1145.622222222222
1734714000000,undefined,8331.511111111111,17875.666666666668,5393.377777777777,undefined,1889.8666666666666,18161.577777777777,16372.111111111111,undefined,838.7333333333333
1734721200000,undefined,14335.355555555554,13857.577777777777,8136.155555555555,undefined,1255.0888888888887,26666.933333333334,13640.8,undefined,935.7111111111111
1734728400000,undefined,15140.777777777777,45947.266666666656,12226.844444444443,undefined,1316.8444444444444,12517.666666666666,17203.133333333335,undefined,691.911111111111
1734735600000,undefined,15561.28888888889,16476.555555555555,8382.822222222221,undefined,3519.9777777777776,16482.355555555558,31448.022222222222,undefined,840.7777777777777
1734742800000,undefined,64947.24444444444,35231.333333333336,75968.97777777776,undefined,2542.4,7459.222222222222,12538.133333333333,undefined,456.1111111111111
1734750000000,undefined,28608.577777777777,57210.48888888888,21981.48888888889,undefined,324.1333333333333,24313.755555555555,30102.133333333335,undefined,1955.5777777777776
1734757200000,undefined,14887.355555555554,11542.133333333333,11643.422222222222,undefined,195.55555555555557,24010.133333333335,14062.577777777777,undefined,551.4666666666667
1734764400000,undefined,24495,20703.844444444443,9435.62222222222,undefined,1028.5111111111112,39001.46666666667,21023.333333333332,undefined,843.5999999999999
1734771600000,undefined,45407.13333333333,22182.866666666665,17597.066666666666,undefined,36402.6,17774.155555555553,16907.088888888888,undefined,670.0444444444444
1734778800000,undefined,17827.377777777776,8450.592182743372,106340.46666666666,undefined,958.0444444444444,15878.466666666667,18017.777777777774,undefined,717.7555555555555
1734786000000,undefined,42251.8,20413.82222222222,25819.377777777776,undefined,1766.1777777777777,119532.64444444445,25875.511111111107,undefined,757.6888888888888
