"Time","alice inbound","bob inbound","charlie inbound","dave inbound","erin inbound","frank inbound","ian inbound","jade inbound","luke inbound","mike inbound"
1732611600000,10547.355555555554,10464.933333333332,9077.28888888889,16009.133333333331,undefined,247.33333333333334,9744.555555555555,undefined,9409.155555555555,3285.7111111111108
1732618800000,59916.133333333324,53026.11111111111,46829.57777777778,104427.4,undefined,31898.466666666667,50470.4,undefined,47083.688888888886,6160.6
1732626000000,14146.955555555554,16418.82222222222,15323.08888888889,24399.533333333333,undefined,185.24444444444444,14036.844444444443,undefined,13504.666666666666,4440.355555555555
1732633200000,11878.22222222222,12594.22222222222,10997.4,22921.511111111107,undefined,246.66666666666666,13076.8,undefined,11332.444444444443,2335.311111111111
1732640400000,10596.177777777777,12617.71111111111,10673.666666666666,22108.28888888889,undefined,234.24444444444444,11326.266666666666,undefined,9897.244444444445,1884.311111111111
1732647600000,10851,11527.666666666664,10581.22222222222,24770.2,undefined,330.9111111111111,10347.177777777777,undefined,10891.133333333333,2345.1777777777775
1732654800000,6675.133333333333,7996.377777777777,7432.799999999999,17464.42222222222,undefined,372.1333333333333,7449.533333333334,undefined,7955.444444444444,1616.9777777777776
1732662000000,8368.199999999999,9550.222222222223,8695.888888888889,19722.022222222222,undefined,422.1333333333333,8538.866666666665,undefined,8334.888888888889,1566.7333333333331
1732669200000,8818.266666666666,8223.866666666665,8500.844444444443,16940.244444444445,undefined,285.55555555555554,7660.311111111111,undefined,8316.266666666666,1389.3777777777775
1732676400000,25020.777777777774,21106.333333333332,21018.533333333333,44331.42222222222,undefined,333.97777777777776,21979.222222222223,undefined,17007.73333333333,3931.3555555555554
1732683600000,7979.222222222222,6953.288888888888,7527.6,13370.155555555557,undefined,242.97777777777776,8038.911111111111,undefined,7066.4,1269.9555555555555
1732690800000,7252.822222222222,7465.022222222222,7005.577777777778,12618.755555555555,undefined,433.55555555555554,7549.688888888889,undefined,6991.977777777778,1476.6444444444444
1732698000000,11566.288888888888,10846.888888888887,11921.644444444444,18072.022222222222,undefined,4085.822222222222,11429.2,undefined,10990.577777777777,2646.888888888889
1732705200000,11144.266666666666,10851.355555555554,12068.244444444445,18646.022222222222,undefined,373.6,10325.622222222222,undefined,10207.888888888887,2292.755555555555
1732712400000,17240.91111111111,14902.155555555555,14230.355555555554,33103.066666666666,undefined,333.64444444444445,12922.266666666665,undefined,12631.688888888888,2851.4
1732719600000,22907.977777777778,18346.066666666666,17475.066666666666,36409.71111111111,undefined,429.79999999999995,21337.48888888889,undefined,17927.31111111111,5033.866666666667
1732726800000,8937.644444444444,9951.955555555554,8460.888888888889,18665.155555555553,undefined,431.9555555555555,8832.91111111111,undefined,8979.733333333334,1555.3333333333333
1732734000000,13566.933333333332,14983.133333333331,14592.399999999998,28086.51111111111,undefined,73051.17777777776,14391.622222222222,undefined,12559.333333333332,3210.4888888888886
1732741200000,13471.777777777777,13920.62222222222,14508.733333333332,27217.666666666668,undefined,396.97777777777776,11806.266666666666,undefined,11462.111111111111,3201.111111111111
1732748400000,17694.244444444445,19218.355555555554,18084.959331525846,38901.75555555556,undefined,337.1111111111111,17557.955555555553,undefined,16155.93333333333,5679.466666666666
1732755600000,17842.222222222223,13972.8,17862.244444444445,29513.888888888887,undefined,418.5777777777778,17521.11111111111,undefined,15847.02222222222,2830.6888888888884
1732762800000,7109.377777777777,7043.644444444444,7425.022222222222,15121.333333333332,undefined,508.8222222222222,6631.266666666666,undefined,6775.622222222222,1368.4666666666667
1732770000000,20764.444444444445,18014.333333333332,20000.33485880121,36329.28888888889,undefined,479.4222222222222,21145.088888888888,undefined,21267.644444444446,3322.2
